userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:11, received timestamp, 13/13:23:21, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:13, received timestamp, 13/13:23:21, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:16, received timestamp, 13/13:23:21, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:18, received timestamp, 13/13:23:21, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:21, received timestamp, 13/13:23:21, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:23, received timestamp, 13/13:23:34, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:26, received timestamp, 13/13:23:34, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:28, received timestamp, 13/13:23:34, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:31, received timestamp, 13/13:23:34, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:33, received timestamp, 13/13:23:34, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:36, received timestamp, 13/13:23:48, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:39, received timestamp, 13/13:23:48, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:41, received timestamp, 13/13:23:48, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:44, received timestamp, 13/13:23:48, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:47, received timestamp, 13/13:23:48, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:50, received timestamp, 13/13:24:02, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:53, received timestamp, 13/13:24:02, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:56, received timestamp, 13/13:24:02, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:23:59, received timestamp, 13/13:24:02, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:02, received timestamp, 13/13:24:02, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:04, received timestamp, 13/13:24:13, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:06, received timestamp, 13/13:24:13, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:08, received timestamp, 13/13:24:13, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:11, received timestamp, 13/13:24:13, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:13, received timestamp, 13/13:24:13, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:15, received timestamp, 13/13:24:26, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:18, received timestamp, 13/13:24:26, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:20, received timestamp, 13/13:24:26, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:23, received timestamp, 13/13:24:26, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:25, received timestamp, 13/13:24:26, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:28, received timestamp, 13/13:24:39, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:30, received timestamp, 13/13:24:39, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:33, received timestamp, 13/13:24:39, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:36, received timestamp, 13/13:24:39, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:38, received timestamp, 13/13:24:39, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:41, received timestamp, 13/13:24:54, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:44, received timestamp, 13/13:24:54, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:47, received timestamp, 13/13:24:54, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:50, received timestamp, 13/13:24:54, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:53, received timestamp, 13/13:24:54, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:56, received timestamp, 13/13:25:06, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:24:59, received timestamp, 13/13:25:06, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:25:02, received timestamp, 13/13:25:06, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:25:04, received timestamp, 13/13:25:06, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:25:06, received timestamp, 13/13:25:06, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:25:08, received timestamp, 13/13:25:18, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:25:10, received timestamp, 13/13:25:18, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:25:13, received timestamp, 13/13:25:18, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:25:15, received timestamp, 13/13:25:18, Message length, 169
userid, idIoTagent, temp, 24.25, sample_timestamp, 16:25:18, received timestamp, 13/13:25:18, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:30:47, received timestamp, 13/13:30:51, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:30:48, received timestamp, 13/13:30:51, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:30:49, received timestamp, 13/13:30:51, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:30:50, received timestamp, 13/13:30:51, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:30:51, received timestamp, 13/13:30:51, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:30:52, received timestamp, 13/13:30:57, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:30:53, received timestamp, 13/13:30:57, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:30:54, received timestamp, 13/13:30:57, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:30:55, received timestamp, 13/13:30:57, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:30:56, received timestamp, 13/13:30:57, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:30:57, received timestamp, 13/13:31:03, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:30:58, received timestamp, 13/13:31:03, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:30:59, received timestamp, 13/13:31:03, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:01, received timestamp, 13/13:31:03, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:02, received timestamp, 13/13:31:03, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:03, received timestamp, 13/13:31:09, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:05, received timestamp, 13/13:31:09, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:06, received timestamp, 13/13:31:09, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:08, received timestamp, 13/13:31:09, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:09, received timestamp, 13/13:31:09, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:10, received timestamp, 13/13:31:13, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:11, received timestamp, 13/13:31:13, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:11, received timestamp, 13/13:31:13, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:12, received timestamp, 13/13:31:13, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:13, received timestamp, 13/13:31:13, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:14, received timestamp, 13/13:31:18, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:15, received timestamp, 13/13:31:18, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:16, received timestamp, 13/13:31:18, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:17, received timestamp, 13/13:31:18, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:18, received timestamp, 13/13:31:18, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:19, received timestamp, 13/13:31:24, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:20, received timestamp, 13/13:31:24, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:21, received timestamp, 13/13:31:24, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:22, received timestamp, 13/13:31:24, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:23, received timestamp, 13/13:31:24, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:25, received timestamp, 13/13:31:31, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:26, received timestamp, 13/13:31:31, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:27, received timestamp, 13/13:31:31, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:29, received timestamp, 13/13:31:31, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:30, received timestamp, 13/13:31:31, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:31, received timestamp, 13/13:31:36, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:33, received timestamp, 13/13:31:36, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:35, received timestamp, 13/13:31:36, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:35, received timestamp, 13/13:31:36, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:36, received timestamp, 13/13:31:36, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:37, received timestamp, 13/13:31:40, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:37, received timestamp, 13/13:31:40, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:38, received timestamp, 13/13:31:40, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:39, received timestamp, 13/13:31:40, Message length, 169
userid, idIoTagent, temp, 24.33, sample_timestamp, 16:31:40, received timestamp, 13/13:31:40, Message length, 169
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:22, received timestamp, 13/13:32:26, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:23, received timestamp, 13/13:32:26, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:24, received timestamp, 13/13:32:26, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:25, received timestamp, 13/13:32:26, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:26, received timestamp, 13/13:32:26, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:27, received timestamp, 13/13:32:32, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:28, received timestamp, 13/13:32:32, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:29, received timestamp, 13/13:32:32, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:30, received timestamp, 13/13:32:32, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:31, received timestamp, 13/13:32:32, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:32, received timestamp, 13/13:32:38, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:33, received timestamp, 13/13:32:38, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:35, received timestamp, 13/13:32:38, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:36, received timestamp, 13/13:32:38, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:37, received timestamp, 13/13:32:38, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:39, received timestamp, 13/13:32:45, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:40, received timestamp, 13/13:32:45, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:42, received timestamp, 13/13:32:45, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:43, received timestamp, 13/13:32:45, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:45, received timestamp, 13/13:32:45, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:45, received timestamp, 13/13:32:49, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:46, received timestamp, 13/13:32:49, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:47, received timestamp, 13/13:32:49, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:47, received timestamp, 13/13:32:49, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:48, received timestamp, 13/13:32:49, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:49, received timestamp, 13/13:32:53, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:50, received timestamp, 13/13:32:53, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:51, received timestamp, 13/13:32:53, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:52, received timestamp, 13/13:32:53, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:53, received timestamp, 13/13:32:53, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:54, received timestamp, 13/13:32:59, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:55, received timestamp, 13/13:32:59, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:56, received timestamp, 13/13:32:59, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:57, received timestamp, 13/13:32:59, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:32:59, received timestamp, 13/13:32:59, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:33:00, received timestamp, 13/13:33:06, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:33:01, received timestamp, 13/13:33:06, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:33:02, received timestamp, 13/13:33:06, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:33:04, received timestamp, 13/13:33:06, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:33:05, received timestamp, 13/13:33:06, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:33:07, received timestamp, 13/13:33:11, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:33:08, received timestamp, 13/13:33:11, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:33:10, received timestamp, 13/13:33:11, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:33:10, received timestamp, 13/13:33:11, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:33:11, received timestamp, 13/13:33:11, Message length, 164
userid, idIoTagent, temp, 25.7, sample_timestamp, 16:33:12, received timestamp, 13/13:33:16, Message length, 164
