userid, idIoTagent, quality, 400, sample_timestamp, 09:13:08, received timestamp, 16/06:13:11, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:08, received timestamp, 16/06:13:11, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:09, received timestamp, 16/06:13:11, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:10, received timestamp, 16/06:13:11, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:11, received timestamp, 16/06:13:11, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:12, received timestamp, 16/06:13:17, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:13, received timestamp, 16/06:13:17, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:14, received timestamp, 16/06:13:17, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:15, received timestamp, 16/06:13:17, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:16, received timestamp, 16/06:13:17, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:17, received timestamp, 16/06:13:23, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:19, received timestamp, 16/06:13:23, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:20, received timestamp, 16/06:13:23, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:21, received timestamp, 16/06:13:23, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:22, received timestamp, 16/06:13:23, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:24, received timestamp, 16/06:13:30, Message length, 20.733
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:25, received timestamp, 16/06:13:30, Message length, 20.733
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:27, received timestamp, 16/06:13:30, Message length, 20.733
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:28, received timestamp, 16/06:13:30, Message length, 20.733
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:30, received timestamp, 16/06:13:30, Message length, 20.733
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:38, received timestamp, 16/06:13:42, Message length, 26.875
userid, idIoTagent, quality, 400, sample_timestamp, 09:13:50, received timestamp, 16/06:13:57, Message length, 28.714
userid, idIoTagent, quality, 400, sample_timestamp, 09:14:00, received timestamp, 16/06:14:07, Message length, 26.875
userid, idIoTagent, quality, 400, sample_timestamp, 09:14:12, received timestamp, 16/06:14:20, Message length, 28.714
userid, idIoTagent, quality, 400, sample_timestamp, 09:14:47, received timestamp, 16/06:14:51, Message length, 20.067
userid, idIoTagent, quality, 400, sample_timestamp, 09:14:48, received timestamp, 16/06:14:51, Message length, 20.067
userid, idIoTagent, quality, 408, sample_timestamp, 09:14:49, received timestamp, 16/06:14:51, Message length, 20.067
userid, idIoTagent, quality, 400, sample_timestamp, 09:14:50, received timestamp, 16/06:14:51, Message length, 20.067
userid, idIoTagent, quality, 406, sample_timestamp, 09:14:51, received timestamp, 16/06:14:51, Message length, 20.067
userid, idIoTagent, quality, 408, sample_timestamp, 09:14:52, received timestamp, 16/06:14:57, Message length, 20.867
userid, idIoTagent, quality, 407, sample_timestamp, 09:14:53, received timestamp, 16/06:14:57, Message length, 20.867
userid, idIoTagent, quality, 409, sample_timestamp, 09:14:54, received timestamp, 16/06:14:57, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:14:55, received timestamp, 16/06:14:57, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:14:56, received timestamp, 16/06:14:57, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:14:57, received timestamp, 16/06:15:03, Message length, 20.867
userid, idIoTagent, quality, 401, sample_timestamp, 09:14:59, received timestamp, 16/06:15:03, Message length, 20.867
userid, idIoTagent, quality, 400, sample_timestamp, 09:15:00, received timestamp, 16/06:15:03, Message length, 20.867
userid, idIoTagent, quality, 408, sample_timestamp, 09:15:01, received timestamp, 16/06:15:03, Message length, 20.867
